Price,usable_area_sqft,bedroom,Bathroom,bathroom_ratio,balconies,Floor No,floors,floor_ratio,area_price_mean,city_price_mean,amenity_count,luxury_score,Facing,Maintenance Charges,isPrimeLocationProperty_Y
7800000.0,1044.0,3,2.0,0.6666666666666666,2.0,4.0,12.0,0.3333333333333333,5983742.342391305,11238531.74308094,0,0,East,2500.0,True
3700000.0,493.0,1,1.0,1.0,1.0,7.0,14.0,0.5,5983742.342391305,11238531.74308094,0,0,East,2500.0,True
4499000.0,421.0,1,2.0,2.0,2.0,7.0,16.0,0.5333333333333333,5983742.342391305,11238531.74308094,0,0,East,2500.0,True
4300000.0,640.0,1,1.0,1.0,2.0,1.0,22.0,0.0454545454545454,5983742.342391305,11238531.74308094,0,0,East,2500.0,True
3451500.0,455.0,1,2.0,2.0,1.0,1.0,15.0,0.0666666666666666,5983742.342391305,11238531.74308094,0,0,East,1000.0,True
4050000.0,624.0,1,1.0,1.0,2.0,5.0,7.0,0.7142857142857143,5983742.342391305,11238531.74308094,0,0,East,2500.0,True
7400000.0,685.0,2,2.0,1.0,1.0,17.0,19.0,0.8947368421052632,5983742.342391305,11238531.74308094,12,0,West,2934.0,False
4800000.0,709.0,2,2.0,1.0,1.0,1.0,27.0,0.037037037037037,5983742.342391305,11238531.74308094,89,5,East,8991.0,False
4700000.0,461.0,1,1.0,1.0,1.0,15.0,26.0,0.5769230769230769,5983742.342391305,11238531.74308094,90,5,East,0.0,True
7999992.0,853.0,3,3.0,1.0,1.0,3.0,29.0,0.1034482758620689,5983742.342391305,11238531.74308094,89,5,North - East,2500.0,True
25200000.0,2115.0,5,3.0,0.6,2.0,5.0,7.0,0.7142857142857143,5983742.342391305,11238531.74308094,89,5,East,2500.0,False
9500000.0,900.0,2,2.0,1.0,2.0,7.0,7.0,0.5333333333333333,5983742.342391305,6608333.333333333,0,0,East,2500.0,False
4200000.0,418.0,1,1.0,1.0,2.0,5.0,7.0,0.7142857142857143,5983742.342391305,11238531.74308094,0,0,South -West,2500.0,False
4200000.0,590.0,1,1.0,1.0,1.0,1.0,5.0,0.2,5983742.342391305,11238531.74308094,0,0,East,2500.0,False
8000000.0,880.0,2,2.0,1.0,1.0,7.0,7.0,1.0,5983742.342391305,11238531.74308094,0,0,East,2500.0,False
10000000.0,1250.0,2,2.0,1.0,2.0,14.0,15.0,0.9333333333333332,5983742.342391305,6608333.333333333,3,0,East,2500.0,False
11000000.0,1190.0,3,3.0,1.0,2.0,5.0,5.0,1.0,5983742.342391305,11238531.74308094,0,0,East,2500.0,False
6000000.0,870.0,2,2.0,1.0,2.0,7.0,7.0,1.0,5983742.342391305,11238531.74308094,0,0,East,2500.0,False
5500000.0,650.0,2,1.0,0.5,2.0,1.0,4.0,0.25,5983742.342391305,11238531.74308094,2,0,East,1100.0,False
8200000.0,595.0,2,2.0,1.0,2.0,3.0,21.0,0.1428571428571428,5983742.342391305,11238531.74308094,0,0,East,2500.0,False
7200000.0,985.0,2,2.0,1.0,2.0,1.0,7.0,0.1428571428571428,5983742.342391305,11238531.74308094,0,0,East,2500.0,False
8500000.0,1130.0,2,2.0,1.0,2.0,15.0,24.0,0.625,5983742.342391305,11238531.74308094,0,0,East,2500.0,True
7300000.0,640.0,2,2.0,1.0,2.0,2.0,8.0,0.25,5983742.342391305,11238531.74308094,2,0,North,2500.0,True
11000000.0,700.0,2,2.0,1.0,2.0,16.0,28.0,0.5714285714285714,5983742.342391305,11238531.74308094,0,0,East,2500.0,True
15000000.0,1600.0,2,2.0,1.0,2.0,7.0,16.0,0.5333333333333333,5983742.342391305,11238531.74308094,0,0,East,2500.0,True
5600000.0,695.0,1,2.0,2.0,2.0,18.0,22.0,0.8181818181818182,5983742.342391305,11238531.74308094,0,0,East,2500.0,True
7200000.0,1010.0,2,2.0,1.0,3.0,2.0,8.0,0.25,5983742.342391305,11238531.74308094,4,0,East,2500.0,True
4000000.0,490.0,1,1.0,1.0,2.0,3.0,5.0,0.6,5983742.342391305,11238531.74308094,0,0,East,2500.0,True
3700000.0,577.0,1,1.0,1.0,2.0,15.0,15.0,1.0,5983742.342391305,11238531.74308094,0,0,East,2500.0,True
3500000.0,580.0,1,1.0,1.0,2.0,4.0,7.0,0.5714285714285714,5983742.342391305,11238531.74308094,0,0,East,2500.0,True
